Order ID,Order Date,Customer,City,Region,Product,Category,Quantity,Unit Price,Sales,Cost,Profit,Status
ORD10107,2025-02-17,Amit Verma,Mumbai,West,T-Shirt,Fashion,4,863.69,3454.76,2376.88,1077.88,Delivered
ORD10125,2025-02-18,Arjun Nair,Bengaluru,South,Office Chair,Furniture,5,8651.62,43258.1,33012.06,10246.04,Processing
ORD10067,2025-02-20,Simran Kaur,Bhopal,Central,Mouse,Electronics,2,810.04,1620.08,1161.68,458.4,Delivered
ORD10109,2025-02-25,Pooja Desai,Lucknow,North,Keyboard,Electronics,3,1551.81,4655.43,3405.25,1250.18,Shipped
ORD10034,2025-02-25,Dev Patel,Chennai,South,Keyboard,Electronics,4,1555.83,6223.32,4979.92,1243.4,Delivered
ORD10101,2025-02-26,Neha Joshi,Nagpur,Central,Headphones,Electronics,1,2407.95,2407.95,1758.17,649.78,Delivered
ORD10069,2025-02-28,Kavita Mehta,Indore,Central,Office Chair,Furniture,5,8266.09,41330.45,25241.95,16088.5,Shipped
ORD10036,2025-03-01,Rahul Sharma,Nagpur,Central,Wallet,Accessories,3,1161.43,3484.29,1817.69,1666.6,Shipped
ORD10149,2025-03-04,Karan Singh,Kochi,South,Watch,Accessories,2,5176.41,10352.82,6098.04,4254.78,Delivered
ORD10070,2025-03-05,Sahil Khan,Nagpur,Central,Watch,Accessories,4,5094.34,20377.36,12228.34,8149.02,Delivered
ORD10039,2025-03-07,Ishita Rao,Patna,East,Monitor,Electronics,2,11904.54,23809.08,19324.66,4484.42,Delivered
ORD10093,2025-03-14,Amit Verma,Surat,West,Monitor,Electronics,2,12432.17,24864.34,19428.76,5435.58,Delivered
ORD10111,2025-03-14,Amit Verma,Raipur,Central,Headphones,Electronics,1,2397.94,2397.94,1808.69,589.25,Delivered
ORD10146,2025-03-15,Rahul Sharma,Indore,Central,Monitor,Electronics,5,12213.71,61068.55,45272.82,15795.73,Delivered
ORD10119,2025-03-16,Sneha Shah,Jaipur,North,Desk,Furniture,3,11636.73,34910.19,22059.27,12850.92,Shipped
ORD10104,2025-03-17,Simran Kaur,Ahmedabad,West,Smartphone,Electronics,1,24065.48,24065.48,18467.96,5597.52,Delivered
ORD10031,2025-03-18,Dev Patel,Mumbai,West,Laptop,Electronics,5,52448.15,262240.75,191879.0,70361.75,Delivered
ORD10097,2025-03-21,Manish Gupta,Raipur,Central,Wallet,Accessories,4,1218.59,4874.36,3352.64,1521.72,Delivered
ORD10112,2025-03-21,Priya Patel,Bhopal,Central,Monitor,Electronics,2,12305.32,24610.64,16906.69,7703.95,Delivered
ORD10011,2025-03-23,Varun Shah,Pune,West,Laptop,Electronics,4,55530.25,222121.0,163007.37,59113.63,Delivered
ORD10118,2025-03-28,Arjun Nair,Chennai,South,Sunglasses,Accessories,1,2202.31,2202.31,1500.18,702.13,Shipped
ORD10072,2025-03-31,Akash Verma,Bengaluru,South,Wallet,Accessories,4,1202.28,4809.12,3363.45,1445.67,Shipped
ORD10086,2025-03-31,Neha Joshi,Bhubaneswar,East,Shoes,Fashion,1,3538.32,3538.32,2356.99,1181.33,Delivered
ORD10148,2025-04-06,Tanvi Joshi,Mumbai,West,Keyboard,Electronics,4,1502.66,6010.64,4855.97,1154.67,Delivered
ORD10059,2025-04-08,Aditya Deshmukh,Bengaluru,South,Sunglasses,Accessories,1,2143.1,2143.1,1174.56,968.54,Shipped
ORD10023,2025-04-08,Rohan Mehta,Raipur,Central,Office Chair,Furniture,3,8260.05,24780.15,16266.9,8513.25,Delivered
ORD10020,2025-04-08,Karan Singh,Pune,West,Monitor,Electronics,5,11938.34,59691.7,44115.95,15575.75,Delivered
ORD10151,2025-04-13,Sneha Shah,Chennai,South,Office Chair,Furniture,2,8276.23,16552.46,11324.08,5228.38,Cancelled
ORD10114,2025-04-15,Rahul Sharma,Kolkata,East,Keyboard,Electronics,3,1566.8,4700.4,3701.23,999.17,Delivered
ORD10040,2025-04-18,Anjali Rao,Ahmedabad,West,Shoes,Fashion,4,3600.02,14400.08,8708.91,5691.17,Delivered
ORD10029,2025-04-18,Simran Kaur,Hyderabad,South,Headphones,Electronics,3,2425.9,7277.7,5595.05,1682.65,Shipped
ORD10099,2025-04-19,Ayesha Khan,Kolkata,East,Smartphone,Electronics,5,26177.73,130888.65,89931.1,40957.55,Delivered
ORD10100,2025-04-21,Manish Gupta,Indore,Central,Desk,Furniture,2,11794.27,23588.54,17797.86,5790.68,Delivered
ORD10017,2025-04-23,Manish Gupta,Pune,West,Monitor,Electronics,1,11485.19,11485.19,8824.7,2660.49,Delivered
ORD10049,2025-04-23,Riya Kapoor,Indore,Central,Office Chair,Furniture,3,8445.46,25336.38,17045.73,8290.65,Delivered
ORD10060,2025-04-24,Anjali Rao,Mumbai,West,T-Shirt,Fashion,4,917.26,3669.04,2380.71,1288.33,Delivered
ORD10088,2025-05-09,Dev Patel,Kochi,South,Watch,Accessories,4,5172.65,20690.6,12344.87,8345.73,Delivered
ORD10071,2025-05-09,Simran Kaur,Patna,East,Laptop,Electronics,1,52752.3,52752.3,42975.59,9776.71,Cancelled
ORD10027,2025-05-16,Aditya Deshmukh,Pune,West,Smartphone,Electronics,2,26083.15,52166.3,41906.28,10260.02,Shipped
ORD10079,2025-05-17,Aditya Deshmukh,Patna,East,Office Chair,Furniture,1,8315.41,8315.41,5722.13,2593.28,Delivered
ORD10008,2025-05-19,Nikhil Jain,Lucknow,North,Keyboard,Electronics,5,1457.94,7289.7,5287.95,2001.75,Shipped
ORD10002,2025-05-21,Tanvi Joshi,Mumbai,West,Wallet,Accessories,2,1166.79,2333.58,1583.18,750.4,Delivered
ORD10135,2025-05-27,Priya Patel,Jaipur,North,Monitor,Electronics,4,12235.29,48941.16,34230.96,14710.2,Delivered
ORD10046,2025-05-27,Dev Patel,Kolkata,East,Mouse,Electronics,2,781.74,1563.48,1133.15,430.33,Delivered
ORD10144,2025-05-31,Ishita Rao,Bhubaneswar,East,Smartphone,Electronics,3,24006.49,72019.47,52279.57,19739.9,Delivered
ORD10013,2025-06-02,Varun Shah,Delhi,North,Shoes,Fashion,5,3538.14,17690.7,12023.07,5667.63,Delivered
ORD10126,2025-06-08,Meera Iyer,Pune,West,Monitor,Electronics,4,11554.74,46218.96,36015.51,10203.45,Delivered
ORD10016,2025-06-09,Dev Patel,Indore,Central,Keyboard,Electronics,4,1574.27,6297.08,4854.94,1442.14,Delivered
ORD10073,2025-06-20,Kavita Mehta,Patna,East,Smartphone,Electronics,3,25425.33,76275.99,61027.09,15248.9,Processing
ORD10051,2025-06-22,Arjun Nair,Lucknow,North,Monitor,Electronics,4,11733.91,46935.64,38166.59,8769.05,Shipped
ORD10143,2025-06-23,Nikhil Jain,Ranchi,East,Backpack,Fashion,2,1799.32,3598.64,2544.72,1053.92,Shipped
ORD10090,2025-06-30,Simran Kaur,Chennai,South,T-Shirt,Fashion,2,912.3,1824.6,1213.76,610.84,Shipped
ORD10145,2025-06-30,Priya Patel,Kochi,South,T-Shirt,Fashion,5,944.83,4724.15,3385.35,1338.8,Delivered
ORD10007,2025-07-01,Meera Iyer,Chennai,South,T-Shirt,Fashion,2,915.32,1830.64,1219.58,611.06,Delivered
ORD10098,2025-07-05,Pooja Desai,Ranchi,East,Keyboard,Electronics,1,1572.14,1572.14,1149.91,422.23,Delivered
ORD10117,2025-07-05,Dev Patel,Raipur,Central,Office Chair,Furniture,1,8446.21,8446.21,5187.29,3258.92,Processing
ORD10134,2025-07-11,Aditya Deshmukh,Surat,West,Backpack,Fashion,2,1779.51,3559.02,2093.31,1465.71,Shipped
ORD10129,2025-07-12,Simran Kaur,Indore,Central,Monitor,Electronics,2,11594.7,23189.4,18467.77,4721.63,Delivered
ORD10022,2025-07-14,Neha Joshi,Kolkata,East,Keyboard,Electronics,1,1572.8,1572.8,1127.9,444.9,Cancelled
ORD10106,2025-07-24,Sahil Khan,Patna,East,Keyboard,Electronics,4,1534.44,6137.76,4442.25,1695.51,Delivered
ORD10047,2025-07-28,Kavita Mehta,Delhi,North,Sunglasses,Accessories,3,2209.37,6628.11,3871.01,2757.1,Delivered
ORD10033,2025-07-31,Neha Joshi,Jaipur,North,Table Lamp,Furniture,1,1742.28,1742.28,1255.46,486.82,Shipped
ORD10019,2025-08-05,Meera Iyer,Surat,West,Smartphone,Electronics,4,24917.56,99670.24,77949.17,21721.07,Delivered
ORD10004,2025-08-05,Dev Patel,Pune,West,Office Chair,Furniture,3,8311.19,24933.57,16665.27,8268.3,Delivered
ORD10043,2025-08-06,Akash Verma,Mumbai,West,Headphones,Electronics,2,2418.97,4837.94,3938.64,899.3,Shipped
ORD10091,2025-08-14,Anjali Rao,Mumbai,West,Wallet,Accessories,1,1209.55,1209.55,676.17,533.38,Delivered
ORD10082,2025-08-14,Sneha Shah,Nagpur,Central,Shoes,Fashion,1,3509.08,3509.08,2360.96,1148.12,Delivered
ORD10147,2025-08-19,Ayesha Khan,Pune,West,Watch,Accessories,3,4936.01,14808.03,8972.07,5835.96,Delivered
ORD10123,2025-08-19,Priya Patel,Bhubaneswar,East,Watch,Accessories,1,5155.48,5155.48,2664.69,2490.79,Delivered
ORD10141,2025-08-23,Amit Verma,Jaipur,North,Wallet,Accessories,1,1175.21,1175.21,597.45,577.76,Delivered
ORD10005,2025-08-24,Priya Patel,Nagpur,Central,Monitor,Electronics,5,11549.79,57748.95,46725.91,11023.04,Processing
ORD10077,2025-08-25,Sneha Shah,Pune,West,Backpack,Fashion,1,1826.59,1826.59,1294.23,532.36,Delivered
ORD10081,2025-08-31,Arjun Nair,Kolkata,East,Desk,Furniture,4,11863.29,47453.16,32702.78,14750.38,Delivered
ORD10045,2025-09-01,Neha Joshi,Raipur,Central,Desk,Furniture,4,11711.03,46844.12,32502.04,14342.08,Delivered
ORD10062,2025-09-05,Karan Singh,Jaipur,North,Office Chair,Furniture,3,8690.9,26072.7,16115.4,9957.3,Delivered
ORD10076,2025-09-06,Dev Patel,Kochi,South,Headphones,Electronics,1,2382.22,2382.22,1830.03,552.19,Delivered
ORD10137,2025-09-13,Sneha Shah,Kolkata,East,Watch,Accessories,5,5018.03,25090.15,16150.75,8939.4,Delivered
ORD10092,2025-09-14,Aditya Deshmukh,Nagpur,Central,Headphones,Electronics,3,2582.62,7747.86,5547.28,2200.58,Shipped
ORD10003,2025-09-16,Pooja Desai,Pune,West,Laptop,Electronics,5,52395.95,261979.75,185439.03,76540.72,Delivered
ORD10121,2025-09-17,Meera Iyer,Bengaluru,South,Office Chair,Furniture,1,8338.85,8338.85,5118.48,3220.37,Processing
ORD10024,2025-09-18,Priya Patel,Indore,Central,T-Shirt,Fashion,1,931.62,931.62,523.15,408.47,Processing
ORD10113,2025-09-20,Akash Verma,Chennai,South,Backpack,Fashion,1,1772.13,1772.13,1178.99,593.14,Delivered
ORD10133,2025-09-20,Sahil Khan,Chandigarh,North,Office Chair,Furniture,2,8781.39,17562.78,13334.25,4228.53,Processing
ORD10041,2025-09-21,Anjali Rao,Delhi,North,Office Chair,Furniture,5,8359.91,41799.55,26769.91,15029.64,Delivered
ORD10124,2025-09-25,Aditya Deshmukh,Ranchi,East,Sunglasses,Accessories,5,2124.92,10624.6,6180.9,4443.7,Delivered
ORD10044,2025-09-29,Ayesha Khan,Lucknow,North,T-Shirt,Fashion,5,908.59,4542.95,3187.07,1355.88,Delivered
ORD10115,2025-09-30,Nikhil Jain,Jaipur,North,Backpack,Fashion,2,1800.05,3600.1,2473.46,1126.64,Delivered
ORD10015,2025-09-30,Amit Verma,Surat,West,Smartphone,Electronics,2,24070.98,48141.96,35939.88,12202.08,Delivered
ORD10094,2025-10-02,Vikas Gupta,Kolkata,East,Office Chair,Furniture,1,8461.57,8461.57,6329.55,2132.02,Processing
ORD10018,2025-10-04,Karan Singh,Kochi,South,Keyboard,Electronics,2,1533.5,3067.0,2464.44,602.56,Delivered
ORD10080,2025-10-10,Arjun Nair,Patna,East,Shoes,Fashion,5,3457.02,17285.1,12062.1,5223.0,Delivered
ORD10078,2025-10-10,Sahil Khan,Bhubaneswar,East,T-Shirt,Fashion,2,889.52,1779.04,1132.18,646.86,Delivered
ORD10028,2025-10-11,Ayesha Khan,Bengaluru,South,Sunglasses,Accessories,3,2294.99,6884.97,3806.65,3078.32,Shipped
ORD10120,2025-10-17,Ayesha Khan,Ranchi,East,T-Shirt,Fashion,5,884.09,4420.45,2668.82,1751.63,Delivered
ORD10009,2025-10-18,Karan Singh,Bengaluru,South,Backpack,Fashion,3,1748.27,5244.81,3673.44,1571.37,Delivered
ORD10131,2025-10-20,Ayesha Khan,Chandigarh,North,Table Lamp,Furniture,4,1793.1,7172.4,5550.92,1621.48,Shipped
ORD10064,2025-10-21,Rahul Sharma,Kolkata,East,Office Chair,Furniture,3,8473.99,25421.97,19559.45,5862.52,Delivered
ORD10116,2025-10-22,Arjun Nair,Kolkata,East,Laptop,Electronics,4,55403.7,221614.8,172711.03,48903.77,Delivered
ORD10054,2025-10-22,Anjali Rao,Mumbai,West,Mouse,Electronics,4,791.73,3166.92,2470.52,696.4,Delivered
ORD10037,2025-10-23,Nikhil Jain,Kolkata,East,Monitor,Electronics,2,11705.67,23411.34,18242.82,5168.52,Shipped
ORD10122,2025-10-25,Sahil Khan,Surat,West,Desk,Furniture,5,12545.08,62725.4,44089.57,18635.83,Delivered
ORD10010,2025-10-27,Tanvi Joshi,Nagpur,Central,Sunglasses,Accessories,4,2287.52,9150.08,6400.55,2749.53,Delivered
ORD10057,2025-10-31,Kavita Mehta,Ranchi,East,Shoes,Fashion,3,3437.81,10313.43,7311.04,3002.39,Shipped
ORD10050,2025-10-31,Nikhil Jain,Delhi,North,T-Shirt,Fashion,5,914.67,4573.35,2848.58,1724.77,Delivered
ORD10066,2025-11-02,Simran Kaur,Raipur,Central,Smartphone,Electronics,5,24314.22,121571.1,91562.51,30008.59,Cancelled
ORD10136,2025-11-08,Ishita Rao,Jaipur,North,Mouse,Electronics,5,793.86,3969.3,3130.44,838.86,Delivered
ORD10130,2025-11-09,Sahil Khan,Chennai,South,Backpack,Fashion,3,1845.43,5536.29,3265.2,2271.09,Shipped
ORD10042,2025-11-09,Riya Kapoor,Pune,West,Laptop,Electronics,1,54754.79,54754.79,44026.09,10728.7,Delivered
ORD10095,2025-11-14,Rahul Sharma,Lucknow,North,Smartphone,Electronics,5,24570.02,122850.1,94030.88,28819.22,Shipped
ORD10056,2025-11-22,Meera Iyer,Surat,West,T-Shirt,Fashion,4,918.66,3674.64,2479.45,1195.19,Shipped
ORD10139,2025-11-22,Priya Patel,Ranchi,East,Laptop,Electronics,4,57645.72,230582.88,164984.6,65598.28,Shipped
ORD10012,2025-11-25,Akash Verma,Ahmedabad,West,Laptop,Electronics,3,52863.54,158590.62,117494.58,41096.04,Delivered
ORD10103,2025-11-26,Sahil Khan,Nagpur,Central,Sunglasses,Accessories,1,2103.38,2103.38,1340.31,763.07,Processing
ORD10026,2025-11-27,Ayesha Khan,Bhubaneswar,East,Mouse,Electronics,3,796.58,2389.74,1935.84,453.9,Delivered
ORD10021,2025-11-30,Priya Patel,Bhopal,Central,Desk,Furniture,5,12403.23,62016.15,39066.21,22949.94,Delivered
ORD10110,2025-12-03,Simran Kaur,Bhopal,Central,Office Chair,Furniture,3,8099.61,24298.83,16114.6,8184.23,Delivered
ORD10035,2025-12-04,Rahul Sharma,Jaipur,North,Office Chair,Furniture,2,8413.7,16827.4,11160.04,5667.36,Delivered
ORD10089,2025-12-04,Rahul Sharma,Hyderabad,South,Watch,Accessories,4,4887.24,19548.96,12685.98,6862.98,Delivered
ORD10108,2025-12-07,Meera Iyer,Surat,West,Monitor,Electronics,4,12441.71,49766.84,38865.34,10901.5,Delivered
ORD10138,2025-12-07,Neha Joshi,Lucknow,North,Monitor,Electronics,1,12028.18,12028.18,8786.4,3241.78,Delivered
ORD10087,2025-12-08,Vikas Gupta,Kochi,South,Wallet,Accessories,1,1247.87,1247.87,760.35,487.52,Processing
ORD10127,2025-12-10,Varun Shah,Bhopal,Central,Headphones,Electronics,4,2502.12,10008.48,6831.31,3177.17,Shipped
ORD10032,2025-12-16,Karan Singh,Ahmedabad,West,Table Lamp,Furniture,2,1830.05,3660.1,2837.64,822.46,Shipped
ORD10083,2025-12-21,Simran Kaur,Hyderabad,South,T-Shirt,Fashion,4,913.49,3653.96,2539.13,1114.83,Delivered
ORD10085,2025-12-22,Neha Joshi,Surat,West,Wallet,Accessories,3,1248.41,3745.23,2092.36,1652.87,Delivered
ORD10053,2025-12-25,Sahil Khan,Pune,West,Wallet,Accessories,3,1232.03,3696.09,2400.93,1295.16,Shipped
ORD10105,2025-12-26,Sneha Shah,Ranchi,East,Mouse,Electronics,1,828.22,828.22,638.66,189.56,Delivered
ORD10061,2025-12-26,Meera Iyer,Nagpur,Central,Sunglasses,Accessories,4,2149.6,8598.4,4630.38,3968.02,Delivered
